# wavelength(um) transit_depth error
4.94382150e+01 3.14616738e-04 1.00000000e-05
4.94349193e+01 3.15089857e-04 1.00000000e-05
4.94316239e+01 3.22771837e-04 1.00000000e-05
4.94283287e+01 3.27750228e-04 1.00000000e-05
4.94250337e+01 3.43712950e-04 1.00000000e-05
4.94217389e+01 3.34556276e-04 1.00000000e-05
4.94184443e+01 3.31404206e-04 1.00000000e-05
4.94151500e+01 3.40082443e-04 1.00000000e-05
4.94118558e+01 3.23761807e-04 1.00000000e-05
4.94085619e+01 3.54682839e-04 1.00000000e-05
4.94052682e+01 3.36416741e-04 1.00000000e-05
4.94019748e+01 3.27433020e-04 1.00000000e-05
4.93986815e+01 3.30837893e-04 1.00000000e-05
4.93953885e+01 3.43337412e-04 1.00000000e-05
4.93920957e+01 3.88981226e-04 1.00000000e-05
4.93888031e+01 3.99694343e-04 1.00000000e-05
4.93855108e+01 3.40260637e-04 1.00000000e-05
4.93822186e+01 3.31507641e-04 1.00000000e-05
4.93789267e+01 3.22193140e-04 1.00000000e-05
4.93756350e+01 3.13763613e-04 1.00000000e-05
4.93723435e+01 3.24706702e-04 1.00000000e-05
4.93690522e+01 3.38972159e-04 1.00000000e-05
4.93657612e+01 3.30515246e-04 1.00000000e-05
4.93624703e+01 3.20646391e-04 1.00000000e-05
4.93591797e+01 3.30271904e-04 1.00000000e-05
4.93558893e+01 3.33134805e-04 1.00000000e-05
4.93525991e+01 3.31112221e-04 1.00000000e-05
4.93493092e+01 3.33286322e-04 1.00000000e-05
4.93460195e+01 3.39897925e-04 1.00000000e-05
4.93427299e+01 3.25343691e-04 1.00000000e-05
4.93394406e+01 3.75285461e-04 1.00000000e-05
4.93361516e+01 3.89796293e-04 1.00000000e-05
4.93328627e+01 3.54713997e-04 1.00000000e-05
4.93295741e+01 3.45937615e-04 1.00000000e-05
4.93262857e+01 3.29829485e-04 1.00000000e-05
4.93229975e+01 3.22462937e-04 1.00000000e-05
4.93197095e+01 3.36018009e-04 1.00000000e-05
4.93164217e+01 3.35819104e-04 1.00000000e-05
4.93131342e+01 3.40778442e-04 1.00000000e-05
4.93098468e+01 3.67370828e-04 1.00000000e-05
4.93065597e+01 3.32888754e-04 1.00000000e-05
4.93032729e+01 3.38650343e-04 1.00000000e-05
4.92999862e+01 3.37433517e-04 1.00000000e-05
4.92966997e+01 3.34818265e-04 1.00000000e-05
4.92934135e+01 3.27441462e-04 1.00000000e-05
4.92901275e+01 3.45589136e-04 1.00000000e-05
4.92868417e+01 3.26596735e-04 1.00000000e-05
4.92835562e+01 3.52900621e-04 1.00000000e-05
4.92802708e+01 3.50722646e-04 1.00000000e-05
4.92769857e+01 3.37188213e-04 1.00000000e-05
4.92737008e+01 3.54299349e-04 1.00000000e-05
